rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
0.5,28.28,70.0,5.12,1011.0,35.0,1979.6000000000001,2.0,2.56,0
0.5,28.28,70.0,5.12,1011.0,35.0,1979.6000000000001,2.0,2.56,0
2.4,28.28,70.0,5.12,1011.0,168.0,1979.6000000000001,2.0,12.288,1
9.3,28.28,70.0,5.12,1011.0,651.0,1979.6000000000001,2.0,47.61600000000001,1
1.3,28.28,70.0,5.12,1011.0,91.0,1979.6000000000001,2.0,6.656000000000001,0
0.5,28.28,70.0,5.12,1011.0,35.0,1979.6000000000001,2.0,2.56,0
0.0,28.28,70.0,5.12,1011.0,0.0,1979.6000000000001,2.0,0.0,0
0.0,28.28,70.0,5.12,1011.0,0.0,1979.6000000000001,2.0,0.0,0
0.0,28.28,70.0,5.12,1011.0,0.0,1979.6000000000001,2.0,0.0,0
10.9,28.28,70.0,5.12,1011.0,763.0,1979.6000000000001,2.0,55.808,1
6.0,28.28,70.0,5.12,1011.0,420.0,1979.6000000000001,2.0,30.72,1
3.0,28.28,70.0,5.12,1011.0,210.0,1979.6000000000001,2.0,15.36,1
0.1,28.28,70.0,5.12,1011.0,7.0,1979.6000000000001,2.0,0.512,0
3.0,28.28,70.0,5.12,1011.0,210.0,1979.6000000000001,2.0,15.36,1
2.0,28.28,70.0,5.12,1011.0,140.0,1979.6000000000001,2.0,10.24,1
3.4,28.28,70.0,5.12,1011.0,238.0,1979.6000000000001,2.0,17.408,1
3.5,28.28,70.0,5.12,1011.0,245.0,1979.6000000000001,2.0,17.92,1
4.2,28.28,70.0,5.12,1011.0,294.0,1979.6000000000001,2.0,21.504,1
0.0,28.28,70.0,5.12,1011.0,0.0,1979.6000000000001,2.0,0.0,0
0.0,28.28,70.0,5.12,1011.0,0.0,1979.6000000000001,2.0,0.0,0
1.6,28.28,70.0,5.12,1011.0,112.0,1979.6000000000001,2.0,8.192,0
0.5,28.28,70.0,5.12,1011.0,35.0,1979.6000000000001,2.0,2.56,0
5.9,28.28,70.0,5.12,1011.0,413.0,1979.6000000000001,2.0,30.208000000000002,1
0.1,28.28,70.0,5.12,1011.0,7.0,1979.6000000000001,2.0,0.512,0
7.6,28.28,70.0,5.12,1011.0,532.0,1979.6000000000001,2.0,38.912,1
14.1,28.28,70.0,5.12,1011.0,987.0,1979.6000000000001,2.0,72.192,1
5.1,28.28,70.0,5.12,1011.0,357.0,1979.6000000000001,2.0,26.112,1
6.9,28.28,70.0,5.12,1011.0,483.0,1979.6000000000001,2.0,35.328,1
29.4,28.28,70.0,5.12,1011.0,2058.0,1979.6000000000001,2.0,150.528,2
0.3,28.28,70.0,5.12,1011.0,21.0,1979.6000000000001,2.0,1.536,0
49.9,28.28,70.0,5.12,1011.0,3493.0,1979.6000000000001,2.0,255.488,2
14.5,28.28,70.0,5.12,1011.0,1015.0,1979.6000000000001,2.0,74.24,1
23.3,28.28,70.0,5.12,1011.0,1631.0,1979.6000000000001,2.0,119.296,2
9.1,23.71,69.0,4.02,1023.0,627.9,1635.99,-10.0,36.581999999999994,1
49.7,23.71,69.0,4.02,1023.0,3429.3,1635.99,-10.0,199.79399999999998,2
68.1,23.71,69.0,4.02,1023.0,4698.9,1635.99,-10.0,273.76199999999994,2
89.6,23.71,69.0,4.02,1023.0,6182.4,1635.99,-10.0,360.19199999999995,2
13.7,23.71,69.0,4.02,1023.0,945.3,1635.99,-10.0,55.07399999999999,1
10.7,23.71,69.0,4.02,1023.0,738.3,1635.99,-10.0,43.013999999999996,1
11.0,23.71,69.0,4.02,1023.0,759.0,1635.99,-10.0,44.22,1
